TransactionAmount,TransactionType,Location,Channel,CustomerOccupation,TransactionDuration,LoginAttempts,AgeBin,AccountBalanceBin,Target
14.090000000000003,Debit,San Diego,ATM,Doctor,81.0,1.0,2.0,0.0,0
376.24,Debit,Houston,ATM,Doctor,141.0,1.0,2.0,2.0,6
126.29000000000002,Debit,Mesa,Online,Student,56.0,1.0,1.0,1.0,3
184.5,Debit,Raleigh,Online,Student,25.0,1.0,1.0,2.0,3
92.15,Debit,Oklahoma City,ATM,Student,172.0,1.0,1.0,1.0,3
7.0800000000000125,Credit,Seattle,ATM,Doctor,139.0,1.0,0.0,2.0,1
171.42,Credit,Indianapolis,Branch,Retired,291.0,1.0,2.0,0.0,5
106.23000000000002,Credit,Detroit,Branch,Engineer,86.0,1.0,2.0,2.0,6
815.96,Debit,Nashville,ATM,Doctor,120.0,1.0,2.0,1.0,6
17.78000000000003,Credit,Albuquerque,Online,Engineer,59.0,1.0,2.0,0.0,5
190.02,Debit,Memphis,Online,Student,173.0,1.0,1.0,1.0,3
494.52,Credit,Mesa,Branch,Student,111.0,1.0,1.0,1.0,5
781.76,Debit,Memphis,ATM,Student,123.0,1.0,1.0,1.0,3
166.99,Debit,Louisville,Online,Student,134.0,1.0,1.0,1.0,3
465.45,Debit,Denver,ATM,Engineer,129.0,1.0,0.0,0.0,4
555.8,Credit,Austin,Branch,Student,158.0,1.0,1.0,1.0,5
492.93,Debit,Columbus,Online,Engineer,234.0,1.0,0.0,0.0,4
18.680000000000007,Credit,Albuquerque,Branch,Retired,106.0,1.0,2.0,0.0,5
71.48000000000002,Credit,Columbus,Online,Student,169.0,1.0,1.0,0.0,5
59.31999999999999,Debit,Los Angeles,Branch,Retired,38.0,1.0,2.0,0.0,0
85.76999999999998,Debit,Las Vegas,Branch,Doctor,93.0,1.0,0.0,2.0,1
52.19999999999999,Debit,Atlanta,Online,Engineer,120.0,1.0,0.0,2.0,1
345.84,Debit,Fort Worth,Online,Student,142.0,3.0,1.0,1.0,2
145.54,Debit,Raleigh,Online,Student,96.0,1.0,1.0,1.0,3
7.4900000000000375,Credit,Houston,Online,Retired,276.0,1.0,2.0,0.0,5
246.93,Debit,Miami,ATM,Student,158.0,5.0,1.0,1.0,2
40.31999999999999,Debit,Milwaukee,Branch,Engineer,95.0,1.0,0.0,0.0,4
127.44999999999999,Debit,Las Vegas,Online,Doctor,197.0,1.0,0.0,1.0,1
56.170000000000016,Debit,Detroit,Branch,Student,283.0,1.0,1.0,1.0,3
28.31000000000003,Credit,Miami,Online,Doctor,20.0,1.0,2.0,2.0,6
59.120000000000005,Debit,Baltimore,ATM,Doctor,257.0,1.0,1.0,2.0,6
396.45,Debit,New York,ATM,Engineer,168.0,3.0,0.0,2.0,2
877.81,Debit,Los Angeles,Online,Student,150.0,1.0,1.0,1.0,3
255.26,Credit,San Francisco,Branch,Doctor,50.0,1.0,0.0,2.0,1
124.75999999999999,Debit,Seattle,Branch,Engineer,45.0,1.0,0.0,0.0,4
78.13,Debit,Milwaukee,Branch,Student,145.0,1.0,1.0,1.0,3
795.31,Debit,Mesa,ATM,Doctor,90.0,2.0,2.0,0.0,0
335.63,Debit,Oklahoma City,Online,Retired,216.0,1.0,2.0,1.0,0
328.47,Debit,San Antonio,ATM,Retired,119.0,1.0,2.0,0.0,0
34.02000000000004,Debit,Philadelphia,Online,Doctor,19.0,1.0,0.0,2.0,1
241.42,Credit,Charlotte,Online,Doctor,116.0,1.0,2.0,2.0,6
55.31999999999999,Debit,Tucson,ATM,Student,117.0,1.0,1.0,1.0,3
304.31,Debit,Louisville,Branch,Student,33.0,1.0,1.0,1.0,3
435.27,Debit,Chicago,Branch,Retired,90.0,1.0,2.0,0.0,0
164.49,Debit,Baltimore,Branch,Student,75.0,1.0,1.0,1.0,3
510.24,Debit,Oklahoma City,Online,Student,105.0,1.0,1.0,1.0,3
